airlineEnglish,airlineKorean,airport,airportCode,city,cityCode,flightPurpose,internationalEddate,internationalFri,internationalIoType,internationalMon,internationalNum,internationalSat,internationalStdate,internationalSun,internationalThu,internationalTime,internationalTue,internationalWed
T'WAY AIR CO.LTD,티웨이항공,무안,MWX,키타큐슈,KKJ,여객기,2019-03-11T00:00:00+09:00,Y,IN,Y,TW232,Y,2018-11-03T00:00:00+09:00,Y,Y,0015,Y,Y
EASTAR JET,이스타항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,ZE782,N,2018-10-28T00:00:00+09:00,N,N,0510,N,N
JEJU AIR,제주항공,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,7C2686,Y,2018-12-23T00:00:00+09:00,Y,Y,0510,Y,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,TW664,Y,2018-10-28T00:00:00+09:00,Y,Y,0515,Y,Y
JEJU AIR,제주항공,청주,CJJ,타이페이/타이베이,TPE,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,7C2678,N,2018-12-23T00:00:00+09:00,Y,Y,0520,N,N
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,세부,CEB,여객기,2019-03-31T00:00:00+09:00,Y,IN,Y,TW138,Y,2018-11-30T00:00:00+09:00,Y,Y,0530,Y,Y
EASTAR JET,이스타항공,청주,CJJ,상해/푸동,PVG,여객기,2019-03-30T00:00:00+09:00,N,IN,N,ZE822,N,2018-10-28T00:00:00+09:00,Y,Y,0540,N,N
JEJU AIR,제주항공,무안,MWX,세부,CEB,여객기,2019-03-31T00:00:00+09:00,N,IN,N,7C2414,Y,2018-12-22T00:00:00+09:00,Y,Y,0550,Y,Y
T'WAY AIR CO.LTD,티웨이항공,대구,TAE,클락필드/클라크필드,CRK,여객기,2019-03-04T00:00:00+09:00,N,IN,Y,TW9136,N,2018-12-27T00:00:00+09:00,N,N,0555,N,N
VIETJET AIR,비엣젯항공,대구,TAE,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,VJ870,N,2018-10-28T00:00:00+09:00,N,N,0600,N,N
AIR BUSAN,에어부산,대구,TAE,타이페이/타이베이,TPE,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,BX792,Y,2018-10-28T00:00:00+09:00,Y,Y,0600,Y,Y
JINAIR,진에어,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,LJ038,N,2018-10-28T00:00:00+09:00,Y,Y,0605,Y,Y
EASTAR JET,이스타항공,부산/김해,PUS,방콕/방콕/수완나품,BKK,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,ZE922,Y,2018-10-28T00:00:00+09:00,Y,Y,0605,Y,Y
JINAIR,진에어,부산/김해,PUS,세부,CEB,여객기,2019-03-30T00:00:00+09:00,N,IN,N,LJ038,Y,2018-10-28T00:00:00+09:00,N,N,0605,N,N
JINAIR,진에어,부산/김해,PUS,다낭,DAD,여객기,2019-03-30T00:00:00+09:00,Y,IN,Y,LJ074,Y,2018-10-28T00:00:00+09:00,Y,Y,0605,Y,Y
JINAIR,진에어,제주,CJU,시안,XIY,여객기,2019-01-23T00:00:00+09:00,Y,IN,Y,LJ172,N,2018-10-28T00:00:00+09:00,N,N,0605,N,Y
JINAIR,진에어,부산/김해,PUS,클락필드/클라크필드,CRK,여객기,2019-03-30T00:00:00+09:00,N,IN,Y,LJ032,N,2018-10-28T00:00:00+09:00,Y,N,0605,N,N
